Lectura regla,V. Acum.,Area,V. Parcial,Cota
12.49,3155474.00,1143165.00,11427.00,1127.00
12.50,3166911.00,1144201.00,11437.00,1127.00
12.51,3178358.00,1145237.00,11447.00,1127.00
12.52,3189815.00,1146273.00,11458.00,1127.00
12.53,3201283.00,1147309.00,11468.00,1127.00
12.54,3212762.00,1148345.00,11478.00,1127.00
12.55,3224250.00,1149381.00,11489.00,1127.00
12.56,3235749.00,1150417.00,11499.00,1127.00
12.57,3247259.00,1151454.00,11509.00,1127.00
12.58,3258778.00,1152490.00,11520.00,1127.00
12.59,3270308.00,1153526.00,11530.00,1127.00
12.60,3281849.00,1154562.00,11540.00,1127.00
12.61,3293400.00,1155598.00,11551.00,1127.00
12.62,3304961.00,1156634.00,11561.00,1127.00
12.63,3316532.00,1157670.00,11572.00,1127.00
